year,elev_feet
1850,4200.55
1851,4200.95
1852,4201.75
1853,4202.95
1854,4203.7
1855,4204.1
1856,4203.7
1857,4203.5
1858,4202.6
1859,4201.45
1860,4200.9
1861,4200.25
1862,4201.25
1863,4201.85
1864,4203.75
1865,4204.35
1866,4205.85
1867,4207.45
1868,4208.8
1869,4210.2
1870,4210.25
1871,4209.8
1872,4210.55
1873,4211
1874,4210.95
1875,4209.8
1876,4209.525
1877,4210.15
1878,4209.3
1879,4207.85
1880,4205.945
1881,4205.55
1882,4205.425
1883,4204.667
1884,4204.45
1885,4206.217
1886,4206.93
1887,4206.736
1888,4205.645
1889,4204
1890,4203.03
1891,4203
1892,4202.45
1893,4202.17
1894,4202.05
1895,4201.9
1896,4201.2
1897,4201.267
1898,4201.125
1899,4200.508
1900,4200.183
1901,4199.55
1902,4198.75
1903,4197.058
1904,4197.108
1905,4197.1
1906,4196.833
1907,4198.692
1908,4200.383
1909,4201.242
1910,4202.933
1911,4202.508
1912,4202.067
1913,4202.325
1914,4202.592
1915,4202.667
1916,4202.008
1917,4202.217
1918,4202.892
1919,4202.133
1920,4201.225
1921,4201.983
1922,4203.058
1923,4203.883
1924,4204.308
1925,4203.667
1926,4203.642
1927,4202.8
1928,4202.058
1929,4201.192
1930,4200.679
1931,4199.887
1932,4198.55
1933,4198.104
1934,4196.667
1935,4195.308
1936,4194.775
1937,4195.367
1938,4195.562
1939,4195.642
1940,4194.95
1941,4194.688
1942,4195.346
1943,4195.442
1944,4195.5
1945,4195.517
1946,4196.162
1947,4196.496
1948,4196.975
1949,4197.129
1950,4197.758
1951,4198.742
1952,4199.625
1953,4199.946
1954,4198.837
1955,4197.5
1956,4197.096
1957,4196.554
1958,4196.504
1959,4195.588
1960,4194.633
1961,4193.167
1962,4192.675
1963,4192.221
1964,4192.527
1965,4193.444
1966,4194.623
1967,4193.99
1968,4194.66
1969,4195.76
1970,4195.85
1971,4196.592
1972,4198.385
1973,4199.298
1974,4200.115
1975,4200.242
1976,4201.069
1977,4200.294
1978,4199.285
1979,4198.921
1980,4198.848
1981,4199.502
1982,4199.423
1983,4202.821
1984,4206.954
1985,4208.848
1986,4209.792
1987,4210.792
1988,4208.562
1989,4205.654
1990,4203.422
1991,4201.678
1992,4200.503
1993,4199.718
1994,4199.46
1995,4198.819
1996,4199.308
1997,4199.953
1998,4201.596
1999,4202.96
2000,4202.517
2001,4200.876
2002,4198.97
2003,4197.145
2004,4195.401
2005,4195.651
2006,4196.667
2007,4196.706
2008,4195.365
2009,4194.889
2010,4194.825
2011,4196.049
2012,4197.837
2013,4196.106
2014,4194.479
2015,4193.642
2016,4193.21
2017,4193.663
2018,4193.912
2019,4193.362
2020,4193.847
2021,4192.373